dataset,split,method,accuracy,precision,recall,f1,yes_rate,samples_evaluated,samples_failed,seconds_per_sample
coco,random,regular,0.8706666666666667,0.9719864176570459,0.7633333333333333,0.8551157580283794,0.39266666666666666,3000,0,0.09946823472250253
coco,popular,regular,0.859,0.9439406430338005,0.7633333333333333,0.8440840398083302,0.4043333333333333,3000,0,0.09903429346097012
coco,adversarial,regular,0.836,0.89375,0.7626666666666667,0.823021582733813,0.4266666666666667,3000,0,0.09932834270969033
gqa,random,regular,0.8936666666666667,0.9332355099046221,0.848,0.8885784142507858,0.4543333333333333,3000,0,0.09927794749476015
gqa,popular,regular,0.8403333333333334,0.835193696651346,0.848,0.8415481309956995,0.5076666666666667,3000,0,0.09904621551247934
gqa,adversarial,regular,0.809,0.7866419294990723,0.848,0.8161693936477382,0.539,3000,0,0.09892639726866037
aokvqa,random,regular,0.887,0.9290465631929047,0.838,0.8811777076761304,0.451,3000,0,0.09901615348520379
aokvqa,popular,regular,0.8523333333333334,0.8627316403568978,0.838,0.8501859993236388,0.4856666666666667,3000,0,0.09895899306517095
aokvqa,adversarial,regular,0.7886666666666666,0.7627427184466019,0.838,0.7986022871664549,0.5493333333333333,3000,0,0.09888751177520802
coco,random,first_logit,0.8706666666666667,0.9719864176570459,0.7633333333333333,0.8551157580283794,0.39266666666666666,3000,0,0.09915774160561462
coco,popular,first_logit,0.859,0.9439406430338005,0.7633333333333333,0.8440840398083302,0.4043333333333333,3000,0,0.09923822625012448
coco,adversarial,first_logit,0.836,0.89375,0.7626666666666667,0.823021582733813,0.4266666666666667,3000,0,0.09924300006808093
gqa,random,first_logit,0.8936666666666667,0.9332355099046221,0.848,0.8885784142507858,0.4543333333333333,3000,0,0.09918616698961705
gqa,popular,first_logit,0.8403333333333334,0.835193696651346,0.848,0.8415481309956995,0.5076666666666667,3000,0,0.09917079944318781
gqa,adversarial,first_logit,0.809,0.7866419294990723,0.848,0.8161693936477382,0.539,3000,0,0.0989106935588643
aokvqa,random,first_logit,0.887,0.9290465631929047,0.838,0.8811777076761304,0.451,3000,0,0.09880201730535676
aokvqa,popular,first_logit,0.8523333333333334,0.8627316403568978,0.838,0.8501859993236388,0.4856666666666667,3000,0,0.09899638040736318
aokvqa,adversarial,first_logit,0.7886666666666666,0.7627427184466019,0.838,0.7986022871664549,0.5493333333333333,3000,0,0.0988700172258541
